time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1704585600,96.81,87.87,93.83,2094142.32,194515458.54,89.49,direct,""
1704672000,99.98,85.49,89.49,4173838.33,387659355.78,98.01,direct,""
1704758400,104.15,95.45,98.01,3129752.84,312351025.26,99.45,direct,""
1704844800,105.6,92.23,99.45,3474342.48,339477432.84,102.01,direct,""
1704931200,107.19,97.55,102.01,3594533.54,365424742.88,99.9,direct,""
1705017600,100.47,86.94,99.9,2731880.98,260070066.81,92.06,direct,""
1705104000,97.29,89.53,92.06,1888782.34,176768882.52,95.84,direct,""
1705190400,104.4,93.68,95.84,2987574.61,292699629.29,93.8,direct,""
1705276800,96.89,93.01,93.8,1536863.86,146162213.98,94.32,direct,""
1705363200,98.69,94.1,94.32,1246224.56,120612864.67,97.59,direct,""
1705449600,102.7,96.72,97.59,2974026,298186323.38,102.07,direct,""
1705536000,103.45,91.48,102.07,2507855.75,243385487.07,94.31,direct,""
1705622400,95.34,87.02,94.31,2574171.47,236970884.44,93.59,direct,""
1705708800,94.13,90.17,93.59,907320.39,83748239.1,92.75,direct,""
1705795200,93.85,90.74,92.75,707411.46,65332591.64,91,direct,""
1705881600,91.83,82.01,91,2534638.92,219210749.54,83.74,direct,""
1705968000,85.87,78.91,83.74,2763767.53,225799604.31,84.29,direct,""
1706054400,89.37,83.29,84.29,2063990.75,178313499.48,88.74,direct,""
1706140800,89.54,85.07,88.74,1575341.86,137852670.3,86.86,direct,""
1706227200,93.68,85.91,86.86,1916390.82,174425970.74,92.23,direct,""
1706313600,94.62,90.69,92.23,1151145.31,106729187.42,94.26,direct,""
1706400000,99.42,93.48,94.26,1942018.87,186982453.62,95.97,direct,""
1706486400,101.95,95.07,95.97,2399982.82,238040517.8,101.67,direct,""
1706572800,106.39,100.99,101.67,2865235.34,297805475.9,101.4,direct,""
1706659200,102.72,95.89,101.4,3299222.52,328718164.93,96.89,direct,""
1706745600,98.84,93.02,96.89,2899480.93,276962628.41,97.78,direct,""
1706832000,102.47,97.4,97.78,2381171.63,237623484.03,100.51,direct,""
1706918400,101.15,96.62,100.51,1251226.24,123482853.55,97.9,direct,""
1707004800,98.51,95.08,97.9,916263.67,88845759.37,95.42,direct,""
1707091200,98.57,94.14,95.42,1360129.72,130720524.4,95.5,direct,""
1707177600,97.87,93.1,95.5,1832377.68,175268770.87,96.85,direct,""
1707264000,101.5,94.6,96.85,1675225.09,163367999.65,101.11,direct,""
1707350400,105.13,100.54,101.11,2961750.19,304200342.32,102.79,direct,""
1707436800,109.13,102.79,102.79,2689589.25,284133095.94,106.96,direct,""
1707523200,110.97,106.94,106.96,1753730.3,191350917.01,109.07,direct,""
1707609600,110.68,107.33,109.07,1135456.26,123656050.35,107.48,direct,""
1707696000,112.24,103.46,107.48,2235550.7,242583696.4,111.73,direct,""
1707782400,115.1,108.36,111.73,2138076.66,240524754.18,112.57,direct,""
1707868800,118.71,110.7,112.57,1901125.78,219814138.14,117.11,direct,""
1707955200,118.44,111.61,117.11,1958978,225648861.95,113.61,direct,""
1708041600,114.28,108.03,113.61,1408956.63,156412743.41,110.4,direct,""
1708128000,111.13,105.68,110.4,822029.62,89174506.03,108.96,direct,""
1708214400,114.05,107.57,108.96,960396.13,107084480.34,112.24,direct,""
1708300800,114.86,110.83,112.24,1284460.86,144565964.11,111.55,direct,""
1708387200,112.1,103.88,111.55,2014368.68,217470943.74,108.35,direct,""
1708473600,108.38,100.22,108.35,1858687.39,192848425.31,105.06,direct,""
1708560000,107.07,101.48,105.06,1537293.27,160312191.72,101.69,direct,""
1708646400,103.05,98.71,101.69,1093369.63,110488508.04,99.89,direct,""
1708732800,104.74,98.5,99.89,864089.21,88103065.8,104.04,direct,""
1708819200,104.38,102.08,104.04,612514.78,63235359.07,103.47,direct,""
1708905600,110.82,100.32,103.47,2201116.73,234405451.59,109.97,direct,""
1708992000,112.48,105.4,109.97,2166597.78,237619397.53,108.42,direct,""
1709078400,118.98,107.38,108.42,4063477.99,459270090.34,118.98,direct,""
1709164800,134.67,117.35,118.98,5232885.6,665347674.19,125.7,direct,""
1709251200,137.78,125.69,125.7,3056433.36,405596832,129.52,direct,""
1709337600,131.68,127.44,129.52,1729633.33,223568738.39,130.15,direct,""
1709424000,132.19,124.87,130.15,1631666.87,210788622.11,130.25,direct,""
1709510400,134.99,127.68,130.25,2761772.61,361205369.22,133.36,direct,""
1709596800,142.73,109.61,133.36,5819194.17,756083326.32,125.58,direct,""
1709683200,134.92,120.3,125.58,2960573.63,381104039.91,130.89,direct,""
1709769600,149.62,130.71,130.89,4344593.82,619872518.48,144.07,direct,""
1709856000,152.94,142.01,144.07,2858030.19,419104630.15,145.11,direct,""
1709942400,149.44,144.02,145.11,1037218.87,151869088.32,144.58,direct,""
1710028800,148.71,140.67,144.58,1396613.74,202638116.85,144.56,direct,""
1710115200,150.14,137.06,144.56,2595829.07,379112837.22,148.87,direct,""
1710201600,154.99,141.84,148.87,3186761.63,476778765.92,151.05,direct,""
1710288000,166.88,148.82,151.05,2784396.44,438432386.35,163.93,direct,""
1710374400,178.29,159.2,163.93,3815862.32,642377349.09,176.64,direct,""
1710460800,188.85,164.95,176.64,5992284.32,1068149417.11,183.84,direct,""
1710547200,197.8,176.91,183.84,4152263.36,776064550.46,181.95,direct,""
1710633600,204.17,178.58,181.95,3190995.11,611428210.5,201.69,direct,""
1710720000,209.86,193.87,201.69,3655288.14,738658423.4,195.91,direct,""
1710806400,198.63,165.62,195.91,5486398.45,988024751.1,169.91,direct,""
1710892800,193.24,162.49,169.91,4067827.52,717577531.6,191.92,direct,""
1710979200,195.72,175.88,191.92,2530828.31,472190949.04,179.44,direct,""
1711065600,181.81,167.64,179.44,1892655.19,328015603.27,175.17,direct,""
1711152000,178.93,170.28,175.17,1348782.66,236161266.4,172.72,direct,""
1711238400,186.75,171.44,172.72,1516114.9,270312536.09,183.79,direct,""
1711324800,194.53,181.02,183.79,2348938.53,444048366.86,189.01,direct,""
1711411200,196.81,186.31,189.01,1793107.63,343629444.01,190.47,direct,""
1711497600,192.63,180.1,190.47,2075050.92,386127087.76,186.23,direct,""
1711584000,190.93,180.77,186.23,1565753.27,291160759.22,189.67,direct,""
1711670400,193.04,183.31,189.67,1480147.05,277302542.62,192.19,direct,""
1711756800,199.96,190.97,192.19,1358815.59,266404556.59,194.28,direct,""
1711843200,203.1,193.84,194.28,1217337.57,240974694.62,202.43,direct,""
1711929600,204.24,187.09,202.43,1936685.59,376518362.86,192.35,direct,""
1712016000,192.37,175.94,192.35,2429746.49,443999027.53,181.52,direct,""
1712102400,191.96,177.05,181.52,1509273.86,282324677,185.14,direct,""
1712188800,190.17,180.32,185.14,1393893.78,258314841.26,184.09,direct,""
1712275200,185.17,168.07,184.09,2150780.64,376609057.73,174.46,direct,""
1712361600,179.78,173.65,174.46,982039.9,173682508.16,178.74,direct,""
1712448000,182.66,176.92,178.74,1043669.45,187985440.86,179.52,direct,""
1712534400,184.59,175.38,179.52,1700654.25,307007266.04,180.69,direct,""
1712620800,180.87,168.99,180.69,1489940.97,260675726.56,172.32,direct,""
1712707200,175.48,162.41,172.32,1767500.77,299280984.54,173.35,direct,""
1712793600,176.27,170.11,173.35,1084052.19,187905664.5,172.43,direct,""
1712880000,175.93,143.03,172.43,2793661.28,442076377.19,153.29,direct,""
1712966400,154.93,119.92,153.29,5183207.43,711604717.45,138.51,direct,""
1713052800,152.73,130.98,138.51,3060845.3,431491476.62,151.45,direct,""
1713139200,156.1,133.77,151.45,2606283.33,379031572.15,138.59,direct,""
1713225600,140.62,126.6,138.59,2511647.93,334403437.76,136.27,direct,""
1713312000,142.72,126.91,136.27,2474683,331011215.79,131.89,direct,""
1713398400,143.88,127.74,131.89,2328264.63,316388572.34,142.1,direct,""
1713484800,147.57,128.54,142.1,3269355.56,457184320.01,142.53,direct,""
1713571200,152.39,139.82,142.53,1221880.92,178632779.86,151.28,direct,""
1713657600,153.53,146.77,151.28,1033411.12,154865367.77,148.78,direct,""
1713744000,158.47,146.85,148.78,1565457.45,239332074.75,157.03,direct,""
1713830400,160,153.18,157.03,1446174.78,226705627.04,154.68,direct,""
1713916800,159.74,145.54,154.68,2002425.53,308556085.53,147.72,direct,""
1714003200,149.44,142.11,147.72,1651204.31,241156524.26,144.85,direct,""
1714089600,146.06,138.68,144.85,1020844.52,145874995,139.16,direct,""
1714176000,142.96,133.18,139.16,1034367.21,142754281.93,141.23,direct,""
1714262400,144.58,137.11,141.23,774685.91,109967903.38,137.97,direct,""
1714348800,138.89,133.42,137.97,1126367.32,152991280.52,137.74,direct,""
1714435200,139.72,121.13,137.74,2242350.91,288052107.17,126.68,direct,""
1714521600,135.81,118.58,126.68,2509638.42,317240351.76,134.49,direct,""
1714608000,140.69,128.18,134.49,1806862.74,245258470.79,137.62,direct,""
1714694400,145.02,134.03,137.62,1771387.91,249382114.25,143.73,direct,""
1714780800,149.07,142.36,143.73,823296.62,120149125.71,146.05,direct,""
1714867200,147.98,143.15,146.05,741723.68,108074079.53,145.73,direct,""
1714953600,156.84,145.48,145.73,1613718.71,245743030.29,152.82,direct,""
1715040000,159.2,148,152.82,1383916.77,213156591.29,148.03,direct,""
1715126400,149.89,139.98,148.03,1370735.76,199513889.17,142.15,direct,""
1715212800,153.29,140.59,142.15,1297903.53,190110750.45,152.57,direct,""
1715299200,155.68,144.6,152.57,1716642.31,256304682.24,146.03,direct,""
1715385600,147.61,143.11,146.03,857719.99,124606367.13,145.37,direct,""
1715472000,147.64,142.61,145.37,626949.61,90898975.25,143.39,direct,""
1715558400,150.7,137.88,143.39,1601373.72,232652330.71,147.47,direct,""
